2012-08-19 22:47:43,501 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:43.412974+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:43.412974+00:00')
2012-08-19 22:47:43,567 [DEBUG] django.db.backends: (0.003) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:43,949 [DEBUG] django.db.backends: (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:43.938353+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:43.938353+00:00')
2012-08-19 22:47:43,953 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:43,962 [DEBUG] django.db.backends: (0.005) SELECT "inbox_mail"."inbox_id" FROM "inbox_mail" WHERE ("inbox_mail"."inbox_id" IN (SELECT U0."id" FROM "inbox_inbox" U0 INNER JOIN "inbox_inbox_users" U1 ON (U0."id" = U1."inbox_id") WHERE U1."user_id" = 2511 ) AND NOT ("inbox_mail"."id" IN (SELECT U1."mail_id" FROM "inbox_mail_readers" U1 WHERE (U1."user_id" = 2511  AND U1."mail_id" IS NOT NULL)))); args=(2511, 2511)
2012-08-19 22:47:43,965 [DEBUG] django.db.backends: (0.002) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_inbox"."slug" ASC; args=(2511,)
2012-08-19 22:47:43,995 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:43.985055+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:43.985055+00:00')
2012-08-19 22:47:43,999 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:44,006 [DEBUG] django.db.backends: (0.003) SELECT "inbox_mail"."id", "inbox_mail"."inbox_id", "inbox_mail"."peer", "inbox_mail"."from_email", "inbox_mail"."to_email", "inbox_mail"."bcc", "inbox_mail"."cc", "inbox_mail"."raw", "inbox_mail"."subject", "inbox_mail"."uuid", "inbox_mail"."date", "inbox_mail"."content_types" FROM "inbox_mail" INNER JOIN "inbox_inbox" ON ("inbox_mail"."inbox_id" = "inbox_inbox"."id") INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_mail"."date" DESC LIMIT 50; args=(2511,)
2012-08-19 22:47:44,695 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:44.685908+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:44.685908+00:00')
2012-08-19 22:47:44,698 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
